,Judul,Konten
28,"Ikan Lele Cegah Stunting, Cicip Abon Lele dari Jambi yang Nagih","Konsumsi ikan lele disebut Kepala BKKBN dr Hasto Wardoyo, SpOG mampu mencegah stunting anak. Jika bosan olahan biasa, coba abon lele kreasi mahasiswa Jambi ini."
29,Rachmat Gobel Beberkan Rencana Pembangunan IKN ke Parlemen Hungaria,"Wakil Ketua DPR RI Bidang Korinbang, Rachmat Gobel memaparkan pembangunan Ibu Kota Negara (IKN) baru di Kalimantan di hadapan pimpinan DPR Hungaria."
30,"Ada Beasiswa S2 di Belgia, Tunjangan Hingga Rp 155 Juta",Kementerian Pendidikan Belgia membuka beasiswa The Master Mind untuk mahasiswa berprestasi di seluruh dunia. Bisa dapat tunjangan hingga Rp 155 juta.
31,5 Prospek Kerja Lulusan Sastra Indonesia,Jurusan Sastra Indonesia masih jadi primadona bagi siswa SMA yang ingin melanjutkan studi di perguruan tinggi. Berikut prospek kerja lulusan Sastra Indonesia.
32,Warga Bisa Akses Ilmu Gratis dari Perguruan Tinggi? Ini Program 2 Pakar Pendidikan,Kitong Bisa Foundation dan Pijar Foundation menyediakan program baru bagi masyarakat yang ingin mengakses pengetahuan gratis dari perguruan tinggi.
33,Unpar Buka Jalur USM 2 bagi Calon Mahasiswa Baru 2023,Universitas Katolik Parahyangan (Unpar) Bandung membuka jalur Ujian Saringan Masuk (USM) 2 bagi calon mahasiswa baru 2023 mulai 13 Februari 2023 - 2 Mei 2023.
34,"Beasiswa Bank Indonesia 2023 Jabar buat Mahasiswa dan Siswa SMK, Yuk Daftar!","Ada sejumlah program Beasiswa Bank Indonesia 2023 untuk mahasiswa dan siswa SMK di Jabar, simak ketentuan selengkapnya di sini."
35,"Beasiswa Jalur Mandiri ITS 2023 Dibuka, Bebas Uang Sumbangan","ITS membuka beasiswa untuk jalur mandiri 2023, bebas uang Sumbangan Pengembangan Akademik (SPA) dan Sumbangan Pengembangan Institusi (SPI)."
36,"Mengenal Konflik Sosial, Penyebab, Dampak, dan Contohnya","Konflik sosial sering terjadi di masyarakat. Simak penyebab, dampak, dan contoh konflik sosial di sini."
37,"Ketentuan Khusus SNBP di UNS 2023, Prestasi sampai Tinggi Badan","UNS menerapkan sejumlah ketentuan khusus di SNBP 2023 pada sejumlah prodi, mulai dari prestasi, buta warna parsial, tinggi badan, hingga khusus perempuan."
38,"17 Kompetisi Ajang Talenta Kemendikbudristek 2023, Mahasiswa Bersiap Yuk!",Kemendikbudristek menggelar 17 ajang talenta bagi mahasiswa di seluruh perguruan tinggi Indonesia pada tahun 2023. Cek yuk apa saja kompetisinya.
39,Menanti Janji Pemerintah 'Pasrahkan' Lahan Eks TPA Cireundeu ke Warga,"18 tahun lalu, 157 nyawa melayang dalam tragedi longsor sampah yang terjadi di TPA Cireundeu, Kelurahan Leuwigajah, Kecamatan Cimahi Selatan, Kota Cimahi."
40,"3 Jalur Mandiri UGM 2023, Calon Mahasiswa Baru Siap-siap!","UGM umumkan apa saja jalur mandiri yang akan dibuka bagi calon maba sarjana dan sarjana terapan 2023. Selain itu, segini jumlah kuotanya."
41,Tips Membuat CV Bagi yang Belum Memiliki Pengalaman Kerja,"Curriculum Vitae (CV) merupakan dokumen yang berisi riwayat hidup seseorang. Namun, apa yang harus ditulis jika belum memiliki pengalaman bekerja?"
42,Jalur SNBP di UNIMED? Berikut Jadwal dan Kuota Tiap Jurusan!,"Jalur SNBP di Unimed kini sudah dibuka. Bagi detiker yang ingin mencoba masuk Unimed SNBP, bisa cek informasinya di sini."
43,"Ketentuan Portofolio Bidang Seni dan Olahraga SNBP-SNBT 2023, Persiapkan Yuk!",Peserta SNBP dan SNBT 2023 harus memperhatikan portofolio yang nanti diunggah saat pendaftaran. Berikut ketentuannya.
44,"Aniaya Mantan Pacar, Mahasiswa Pelita Harapan Dikeluarkan!","Seorang mahasiswa Universitas Pelita Harapan (UPH) dicabut status kemahasiswaannya karena diduga menganiaya mantan pacarnya, mahasiswi UPH. Begini kasusnya."
45,Kasus Aniaya Mantan Pacar Bikin Mahasiswa UPH Dikeluarkan Kampus,Pihak UPH mengambil keputusan mencabut status kemahasiswaan pelaku dugaan penganiayaan mantan pacarnya. UPH meminta pelaku bertanggung jawab.
46,"Hari Bahasa Ibu Internasional 2023: Sejarah, Tema, dan Cara Merayakan","Hari Bahasa Ibu Internasional diperingati setiap tanggal 21 Februari. Berikut sejarah, tema dan cara memperingati Hari Bahasa Ibu Internasional 2023."
47,KPK Ungkap Konstruksi Perkara Kasus Suap Bupati Mamberamo Tengah,Bupati Mamberamo Tengah Ricky Ham Pagawak resmi ditahan KPK atas kasus dugaan suap. Begini konstruksi perkaranya.
48,5 Ide Usaha Sampingan untuk Mahasiswa,Mahasiswa biasanya ingin mendapatkan penghasilan sendiri sebagai uang tambahan dari orang tua. Berikut sederet ide usaha sampingan yang bisa dicoba mahasiswa.
49,5 Rekomendasi Kado Wisuda untuk Sahabat dan Orang Tercinta,Wisuda merupakan momen yang membahagiakan sekaligus berkesan. Berikut sederet rekomendasi kado wisuda untuk sahabat dan orang tercinta.
50,Tegas! UPH DO Mahasiswa yang Viral Aniaya Mantan Pacar,UPH memberikan sanksi pencabutan status kemahasiswaan alias drop out (DO) kepada mahasiswanya yang diduga menganiaya mantan pacarnya yang juga mahasiswi UPH.
51,Mendobrak Stigma Gen Z Melalui TEDx Sampoerna University,"Ada beberapa stigma yang disematkan ke Gen Z. Antara lain serbacepat, termasuk dalam menyimpulkan sesuatu. Bisakah stigma itu didobrak?"
52,Hakim MK Tegur Pemohon Perppu Ciptaker: Tidak Boleh Kaitkan Politik,Hakim Konstitusi Anwar Usman sempat menegur pemohon gugatan Perppu  Ciptaker di sidang. Anwar menegaskan sidang di MK tidak boleh dikaitkan dengan politik.
