,Username,Konten,Lokasi
32,albanjary_rian,@giginpraginanto Sekilas mirip cak imin,
33,Disuruh_Iben,"Oknum PPK Terancam PAW seusai Posting Cak Imin Ketum PKB melalui Facebook, Berikut Keterangan KPU - https://t.co/pgUE1C9qqp https://t.co/TiwquZFSQi #IndonesiaKuat #BangkitBersama",Pulau Impian
34,Disuruh_Iben,Cak Imin Dorong RUU PPRT Segera Disahkan: Banyak Penindasan dan Eksploitasi PRT - https://t.co/OGzeinmL2w - https://t.co/OGzeinmL2w https://t.co/pSFgFnIPlh #IndonesiaKuat #BangkitBersama,Pulau Impian
35,Disuruh_Iben,"Cak Imin Depak Gus Dur dari PKB, Yenny Wahid: Bagaimana Nanti Memperlakukan Rakyatnya! - Okezone News https://t.co/sjRD3c0ofL #IndonesiaKuat #BangkitBersama",Pulau Impian
36,kasmatawarman,@LuqmanBeeNKRI @yusuf_ch @cakimiNOW @hanifdhakiri @DPP_PKB @pkbjawatengah @SalatigaPkb Bukannya kata mba @yennywahid gak boleh pakai nama2 Gus Dur selama PKB di komandoi cak Imin ?,
37,thehenrisaputro,@RagilSempronk @ganjarpranowo Iki jalan kabupaten mas. Sing diomong cak Imin yen gubernur ki dihapus wae cen bener. Wong wewenang e ra cetho asline ki. Hahaha,
38,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/tsa7Y3B17s,
39,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/tt48P2AiIp,
40,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/CWGdR4732h,
41,oposisi_sukses,"@DPP_PKB @cakimiNOW Meski Nahdliyin.... kalau pengikut, penggemar dan pengagum Gus Dur.. sekali tidak ..maka selama nya tidak untuk memilih &amp; mendukung PKB Cak imin, sejarah perebutan &amp; penghianatan tidak akan pernah terlupakan","Kota Surabaya, Jawa Timur"
42,arifstria4,"Dalam kesepakatan kerja sama koalisi itu, pengusungan capres-cawapres ditentukan oleh Prabowo, dan Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Lebih Baik",
