,Username,Konten,Lokasi
140,merdekadotcom,Prabowo dan Khofifah Terhalang Cak Imin https://t.co/Iawvdru3tv,Indonesia
141,Agustanggang93,Cak imin now https://t.co/gyJB5jo7Ap,"Sumatera Utara, Indonesia"
142,Beritasatu,Peta Koalisi Pilpres 2024 Bisa Berubah Pascapertemuan Airlangga dan Cak Imin https://t.co/fVn4sR6ftl,Jakarta
143,sutiknopkb,"Mari kita bahu membahu dan terus mensukseskan agenda politik untuk mengantarkan PKB menjadi pemenang pemilu 2024 mendatang

@dpp_pkb @cakiminow @dpwpkbjakarta @pejuang_nasibrakyat @darussalam.2876 

#gusmuhaiminiskandar
#TheNext2024 
#cakimin 
#sutikno 
#sutiknopkb https://t.co/DPywJpJCYp",
144,andyyusuf22,"Cak Imin Akan Bertemu Airlangga, Prabowo Sebut KIR Terbuka Buat Golkar - https://t.co/7OwFYiNwpX https://t.co/U5XD6gqZAC",Surabaya   
145,Beritasatu,Cak Imin Kirim Bantuan untuk Korban Gempa Turki https://t.co/45aychpAhz,Jakarta
146,andyyusuf22,"PKB Kalah dari Gerindra, Cak Imin Lebih Layak jadi Cawapres Prabowo Subianto - RMOL https://t.co/EIfd12G8ai",Surabaya   
147,setro_gm,"@calonbabeh @AfifFuadS @DPP_PKB @cakimiNOW penggunaan fotonya kurang etis mas, mungkin tidak salah tapi bisa juga secara estetika, etika dan logika jadi salah. penempatan foto di poster itu lebih menonjol KH Mustofa Bisri ketimbang Cak Imin. karena posisi fotonya tidak seperti foto orang² yg dibawah² nya",
148,muhamma39967166,"#SDGsDesa 
@cakimiNOW 
@cakimin 
@DPP_PKB 
@tppkemendes 
@halimiskandarnu 
@BagusMuhaiminS1 https://t.co/a6IJWEq7xp",
149,ardiana_naya,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
150,PaulinaTamara6,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
151,r_zecky,"@AfifFuadS @makLambeTurah @DPP_PKB @cakimiNOW Diluar salah taroh photo, ini Yang di survey Anggota PKB wajar Cak Imin diatas, kalau warga NU yang di survey bisa aja ada nama Mbak Yeni, Gus Yaqut atau bahkan Eric Tohir",
152,SJasmiharti,"Cak Imin siap membangun Desa
#GusMuhaimin 
#gusmuhaiminteruji 
#GusMuhaiminBerangkat 
#pkbuntukbangsa https://t.co/6YxlE2TRIe",
153,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/lkc63Rm2Ei,
154,Asikirawan,"@AfifFuadS @DPP_PKB @cakimiNOW Aku NU aku gak dukung cak imin. Senengane gowo"" nu gawe alat politik",Malang
155,Emerald72063957,@OposisiCerdas Cak Imin : PKB siap angkat koper 😄😄😄,
156,NurlinaPermata,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
157,abi_hasna,@OposisiCerdas Cak Imin bgm dong,indonesia
158,fahmi_bd,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/dRhdOUROgY",
159,ShafaKamilaa22,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
160,EkaDmynti12,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Tangerang
161,renoalydrus_,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
162,CristianEka3,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
163,ptrapmngks,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
164,AttaKarim10,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
165,AngelinSophia,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
166,KrisnaMahesa_,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
167,DaffaOldyen,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
168,velakhrnisa_,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
169,GHilmysag,"#GusHilmy
@DPP_PKB  @dpwpkbjatim_  @fraksipkbjatim_  @cak_imin  @halimiskandarnu https://t.co/L7xxGxdnJl",
170,saskya_natasya,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
171,YuniardiReza,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
172,TirfanP,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
173,ZackleenW,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",
174,sieradwla_,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",Bandung
175,MagnolyaSisvi,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo",
176,salsabil_mah,"Karena itu, bila Khofifah jadi cawapres Prabowo bukan restu Cak Imin, maka ada kemungkinan koalisi Gerindra-PKB akan bubar.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
177,talitaalmira2,"Jamiluddin menilai duet Prabowo-Khofifah lebih kompetitif dibandingkan Prabowo- Muhaimin Iskandar (Cak Imin).

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
178,GTaufik,"Bisaan aja konsultan politik nyari duitnya.

Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/dCY81vuhMS",Jakarta
179,CarolineVanya,"""Yang kedua biasa silaturahmi kemarin Cak Imin sama Airlangga, Pak Prabowo dengan Bu Khofifah,"" ucap Huda.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jateng
180,WahidRmdhn,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
181,yazid_my,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/w3ZWrrwUMb,"Gresik, Indonesia"
182,calonbabeh,@AfifFuadS @DPP_PKB @cakimiNOW Itukan Cak Imin cium tangan Gus Mus. lagian itu relawan yg bikin. Kok komplain ke @DPP_PKB sama Cak Imin? Ente sehat???? Ancene jancuk arek iki.,Indonesia
183,KelingagusSAR80,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/u8bBRIeq1w,"Pandeglang, Indonesia"
184,Disuruh_Iben,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus - VIVA - https://t.co/W4jcm9jFMS https://t.co/oaHfxQ2Fvl #IndonesiaKuat #BangkitBersama",Pulau Impian
185,Disuruh_Iben,Cak Imin: Hentikan Kekerasan pada Perempuan dan Anak - https://t.co/PsQJkx1iFm https://t.co/QaaXwCri32 #IndonesiaKuat #BangkitBersama,Pulau Impian
186,Disuruh_Iben,"PKB Dukung Cak Imin-Prabowo Maju Pilpres 2024, Anies Baswedan Pesaing Kuat? - https://t.co/tRNS3ctLij https://t.co/7IR5EyJE9O #IndonesiaKuat #BangkitBersama",Pulau Impian
187,VIVAcoid,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/NZuORy41uB",
188,IDNTimes,"PKB Kirim Bantuan untuk Gempa Turki, Pasang Foto Cak Imin di Kardus https://t.co/8VeXq0NRXf",
189,m4cmoore,"Dukungan sudah mulai bermunculan Cak Imin 2024
@baGUSMUHAIMIN24 
@BagusMuhaiminS1 @cakimiNOW @LilisRitonga
@afdimarwan @ErwinLoebis77 @FahmiJuanda1 @Husein88Srg
@RitongaMunir @bgs_IminLabusel https://t.co/XUinYRnVhV",indonesia
190,Kanaya_putri8,"Karena itu, bila Khofifah jadi cawapres Prabowo bukan restu Cak Imin, maka ada kemungkinan koalisi Gerindra-PKB akan bubar.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
191,lailaaa045,"Menurut Jamiluddin, kalau Khofifah nantinya jadi cawapresnya Prabowo, maka tertutup peluang Muhaimin Iskandar (cak Imin) untuk menjadi cawapres.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
192,acer_merah,"@cakimiNOW 
Luar biasa cak imin... https://t.co/YhrfR8BRhv",
193,bgs_IminLabusel,"Dukungan sudah mulai bermunculan Cak Imin 2024
@baGUSMUHAIMIN24 
@BagusMuhaiminS1 @cakimiNOW @LilisRitonga
@afdimarwan @ErwinLoebis77 @FahmiJuanda1 @Husein88Srg
@RitongaMunir https://t.co/N23E8Q9q0c",
194,acer_merah,"@cakimiNOW 
Luar biasa cak imin https://t.co/D2YbQwYDyZ",
195,WildanIlmi1,"""Yang kedua biasa silaturahmi kemarin Cak Imin sama Airlangga, Pak Prabowo dengan Bu Khofifah,"" ucap Huda.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
196,SyifaNadiray,"Karena itu, bila Khofifah jadi cawapres Prabowo bukan restu Cak Imin, maka ada kemungkinan koalisi Gerindra-PKB akan bubar.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Serpong
197,niken_michelle,"Menurut Jamiluddin, kalau Khofifah nantinya jadi cawapresnya Prabowo, maka tertutup peluang Muhaimin Iskandar (cak Imin) untuk menjadi cawapres.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
198,LusiaCarol,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
199,Disuruh_Iben,Cak Imin Sebut NU Maju karena Gus Dur: Yang Dimusuhi Saja Hidup - SINDOnews Nasional https://t.co/2g5DExIb9s #IndonesiaKuat #BangkitBersama,Pulau Impian
200,KanzaAuliya1,"""Yang kedua biasa silaturahmi kemarin Cak Imin sama Airlangga, Pak Prabowo dengan Bu Khofifah,"" ucap Huda.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
201,DavinaPutri11,"Menurut Jamiluddin, kalau Khofifah nantinya jadi cawapresnya Prabowo, maka tertutup peluang Muhaimin Iskandar (cak Imin) untuk menjadi cawapres.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
202,MutiaRahhma11,"""Yang kedua biasa silaturahmi kemarin Cak Imin sama Airlangga, Pak Prabowo dengan Bu Khofifah,"" ujar Huda.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
203,YuniardiReza,"Karena itu, bila Khofifah jadi cawapres Prabowo bukan restu Cak Imin, maka ada kemungkinan koalisi Gerindra-PKB akan bubar.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Jakarta
204,TirfanP,"Jamiluddin menilai duet Prabowo-Khofifah lebih kompetitif dibandingkan Prabowo- Muhaimin Iskandar (Cak Imin).

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
205,yudhiyustira22,@AhmadSu68139215 @GUSDURians Wah ini gonta ganti e..bingungi..Gus muhaimin..cak imin..Gus Ami..🤣🤣,"Kota Palu, Sulawesi Tengah"
206,gaya_gus,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/Ko2N3lhKsh,
207,dpcpkbjaksel,"Saiful Mujani Research and Consulting merilis hasil survei calon potensial dgn latar belakang dari Nahdlatul Ulama (NU). Hasilnya Ketum PKB, @cakimin menempati posisi teratas sebagai calon presiden dari kalangan NU

@DPP_PKB @Alam_PKBJaksel

https://t.co/hhwWP4clUI",
208,FransiscusRila1,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/AGYg1OCsmg,
209,aaachmar,"@cakimiNOW 
Luar biasa cak imin https://t.co/XrwBToJSOy",Aceh Nagan - indonesia
210,roeljogja79,@sandi_io ini yg ngusung siapa? pkb kartu mati harus cak imin..,
211,AlayBerisik,@syaltout @Gojekmilitan @DivHumas_Polri @PPATK Yang jelas gojek militan banyak kerja sukarela..daripada kau produkkksi malingg di KPK lebihh banyakkk.. cak Imin + Romli + Imam + Lukman +!yaqult dll 😅😅😅😁😀 makanya kau jadikan PKI pura 2 NU,
212,Disuruh_Iben,"Oknum PPK Terancam PAW Setelah Posting Cak Imin Ketum PKB Melalui Fb, Berikut Keterangan KPU Nunukan - Tribun Kaltara https://t.co/LqUVqbmykl #IndonesiaKuat #BangkitBersama",Pulau Impian
213,Disuruh_Iben,"Cak Imin Usulkan Penghapusan Gubernur, Mengapa? - Harian Haluan - Harian Haluan Network https://t.co/M6FWNvCZRK #IndonesiaKuat #BangkitBersama",Pulau Impian
214,haelamarie,Kata PKB Soal Gerindra yang Sebut Cak Imin Cawapres Terkuat Prabowo - https://t.co/gdGRaDK9kT https://t.co/o6ghEJObYv #IndonesiaKuat #BangkitBersama,Indonesia
215,EtiWisma,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Seorang calon pemimpin yang visioner👍 https://t.co/JR7AhtBG7f
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/uOgX7s3JPf",
216,03Heriani,"Bismillah Allahumma bibarkati poro ulama NU 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/gobypoZGFv",
217,Disuruh_Iben,Berita Prabowo :  Kata PKB Soal Gerindra yang Sebut Cak Imin Cawapres Terkuat Prabowo Subianto - https://t.co/v8eGYL9JfV https://t.co/rAnv7LfmKB #IndonesiaKuat #BangkitBersama,Pulau Impian
218,Disuruh_Iben,Kata PKB Soal Gerindra yang Sebut Cak Imin Cawapres Terkuat Prabowo Subianto - https://t.co/v8eGYL9JfV https://t.co/j1Y6DMjGhM #IndonesiaKuat #BangkitBersama,Pulau Impian
219,MakmurS7x,"Cak Imin Terima Mandat dari Ratusan Kades se-Jatim di Pilpres 2024 https://t.co/62y4dCCGp7 lewat @okezonenews 
@baGUSMUHAIMIN24 
@BagusMuhaiminS1 @cakimiNOW @LilisRitonga
@afdimarwan @ErwinLoebis77 @FahmiJuanda1 @Husein88Srg
@RitongaMunir","Sumatera Utara, Indonesia"
220,dpwpkbjabar,"FoodBank 17 Februari 2023
Kali ini PKB Jabar melaksanakan giat foodbank di daerah Jl. babakan Cianjur, Desa Campaka, Kecamatan Andir Kota Bandung tepatnya di warung bu Ira
#Foodbank #giveaway #makanan #infobandung #GusMuhaimin #cakimin #MuhaiminIskandar #syaifulhuda  #umkm #andir https://t.co/5rYl55Y5ZN","Kota Bandung, Jawa Barat"
221,CutRismanita,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Seorang calon pemimpin yang visioner👍 https://t.co/9gDECJlQp3
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/XoKS2PzvTu","Aceh, Indonesia"
222,roeljogja79,@Umar_Hasibuan__ teman seperjuangan pasangan pak timbul cak imin,
223,rmp_officials,"Cak Imin menerima mandat dari Desa untuk menjadi Capres 2024 karena telah berjasa memperjuangkan UU Desa 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/f5SmriA630",
224,wellyharlindo1,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/wCIWm4JfXS,"Bandar Lampung, Lampung"
225,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/zCopeg7KgM,
226,chairul20067527,"Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Cak Imin Seorang calon pemimpin yang visioner👍 
@cakimiNOW
@EmHasanuddin
@DPP_PKB 
@Jazilul_Fawaid
 @zainul_munas
@Brigade01Arwan1
@SukoyoKasekpro
@Mursyidan10 https://t.co/E17OGoJY1s",
227,MohdYoga4,"#CakImin Raih Dukungan #BudalGus1 Teratas SMRC Survey Uji Kekuatan Elektoral NU
#GusMuhaiminBerangkat 
@cakimiNOW @DPP_PKB  @EmHasanuddin  @baGUSMUHAIMIN24  @BagusMuhaiminS1 @Brigade01Arwan1 @Mursyidan10 @HasanZulfahmi @AcehTpp
👉BACA👇👇👇 https://t.co/XBCaYsog13","Bireuen, Nangro Aceh Darussala"
228,zulhelm78263067,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Seorang calon pemimpin yang visioner👍 https://t.co/tolQMR9qgc
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/ZO1tdJjcL3",
229,Marzuki72817719,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Seorang calon pemimpin yang visioner👍 https://t.co/YtfNfhIT8N
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@SukoyoKasekpro
@Mursyidan10 https://t.co/ulFkjueHZi",
230,MansurLb,"Cak imin raih kekuatan serta dukungan teratas, uji elektoral Nu dari SMRC salah satu calon pemimpin yang sangat visioner💪👍https://t.co/plHFQPm0ij
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas
@Brigade01Arwan1 
@Mursyidan10 https://t.co/EVD62wygS1",
231,queena_atik,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC. Seorang calon pemimpin yang visioner👍 https://t.co/lkVx6pgGly
@cakimiNOW 
@EmHasanuddin 
@DPP_PKB 
@Jazilul_Fawaid 
@zainul_munas 
@Brigade01Arwan1 
@Mursyidan10 https://t.co/zLdqf54y9N",
232,Peni_Asih,"Alhamdulillah
Aku ra percoyo cak imin",Indonesia
233,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/aGBoK6PMa8,
234,hafizmysoon74,"Berkomitmen akan menjadikan masukan Pembangunan Daerah sebagai agenda Nasional kata Cak Imin
#BudalGus
#GusMuhaiminBerangkat 
@cakimiNOW
@Jazilul_Fawaid
@EmHasanuddin
@IrmawanPKB
@DPP_PKB
@zainul_munas
@SukoyoKasekpro
@zainul_munas
@Yusrikasem1
@Mursyidan10 https://t.co/jLRLqcc0jw",pijay
235,alfisahdinardi,"Pernyataan Responsif Prabowo Subianto Tanggapi Niat Cak Imin Bertemu Golkar
https://t.co/hnp3IfXtfu
#IndonesiaKuat #IkutPakde Prabowo Subianto",
236,alisyarief,"Survei SMRC Khusus NU: Elektabilitas Cak Imin, Mahfud dan Khofifah Seimbang https://t.co/FtZU6wLeDO","-6.252543,106.806343"
237,15Meisika,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/EaAyWsszn4,
238,Disuruh_Iben,"Tetap Usung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain - https://t.co/aq1uhiUil6 https://t.co/4fKWc1ZbHY #IndonesiaKuat #BangkitBersama",Pulau Impian
239,Disuruh_Iben,"PAN soal Pertemuan Cak Imin-Airlangga: Kami Sambut Baik, PKB Itu KIB Banget - https://t.co/OGzeinmL2w - https://t.co/OGzeinmL2w https://t.co/iJwUMedYcf #IndonesiaKuat #BangkitBersama",Pulau Impian
240,dpwpkbjabar,"Jadikan Desa sebagai prioritas pembangunan abad 21.

#nu #1abadnu #gusmuhaimin #muhaiminiskandar #anakyatim #pkb #cakimin #syaifulhuda #acepjamaludin #desa #indonesia
#indonesiaemas

PKB Ka 1
Jabar nga 1

@dpp_pkb @cakiminow @emhasanuddin @syaifulhooda @AcepJamaludin01 https://t.co/lmDrq5bHUm","Kota Bandung, Jawa Barat"
241,Gus_Tamim_,"Dari Desa untuk Indonesia
Budal Gus !
@cakimiNOW #gusmuhaiminpresident2024 
#akunuakupkb #mandatdesa 
#cakimin #GusMuhaimin @DPP_PKB @dpwpkbjatim_ https://t.co/lcu1aXpNzC",
242,PKBTulungagung,Cak imin Raih dukungan teratas di uji kekuatan elektoral NU. https://t.co/TiosDSRubR,"Tulungagung, Jawa Timur"
243,PKBTulungagung,Cak imin Raih dukungan teratas di uji kekuatan elektoral NU. https://t.co/mrODzQU5mM,"Tulungagung, Jawa Timur"
244,Thou_Pick,@liputan6dotcom emang ada yg dukung Cak Imin ???,
245,Ollan395,@kenzie_03012007 hahaha....halu nya ktinggian cak imin,
246,gaspoll2024,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gaspoll #GusMuhaiminAsikPoll https://t.co/LBWBYLjssI","DKI Jakarta, Indonesia"
247,lunte_yunita,Cak Imin Bukan Politisi BAPER https://t.co/EsxBjULhmH,
248,BimataIndonesia,Cak Imin Hingga Khofifah Masuk Bursa Capres-Cawapres dari Tokoh NU https://t.co/Ewkh9EYlzE,Indonesia
249,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/TXWQ0j3ptH,
250,EErupley,#cakimin https://t.co/AgmQvs0eOJ,
251,Dicky3hook,#CakImin https://t.co/svp6zgYVJe,
252,mbisritanjaly75,"#gusmuhaiminberangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/17c8bmCPko",
253,Jhonkosmik,@jatmiko99604253 Bagus juga kalau Cak Imin-Anies,
254,rudiiriandi,"@liputan6dotcom Sdh ketahuan sekarang calon presiden satu lagi, fixed saat ini belum tertarik sama Cak Imin. Lanjutkan Cak Imin, semoga berhasil....","Tanjungpinang, Kepulauan Riau "
255,jatmiko99604253,"@Jhonkosmik Ahy nya juga gak pede , kalah sama cak Imin",
256,Hen43025717,"# cak imin
#huda
#Oleh Soleh https://t.co/2Wp3oqoXRF",
257,Disuruh_Iben,"Tetap Usung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain - https://t.co/aq1uhiUil6 https://t.co/NqXuEJywJc #IndonesiaKuat #BangkitBersama",Pulau Impian
258,Disuruh_Iben,"PKB Tetap Dukung Cak Imin Maju Pilpres, Minta Khofifah Tetap Jadi Gubernur Jawa Timur - https://t.co/v8eGYL9JfV https://t.co/S1hQbK80CI #IndonesiaKuat #BangkitBersama",Pulau Impian
259,Disuruh_Iben,PKB Sebut Cak Imin Bukan Usul Hapus Jabatan Gubernur Tapi Pilgubnya - VIVA - https://t.co/W4jcm9jFMS https://t.co/TsCJoRYvCE #IndonesiaKuat #BangkitBersama,Pulau Impian
260,ceklissatucom,"Tetap Usung Cak Imin di Pilpres 2024, PKB Tutup Pintu untuk Calon Lain https://t.co/G76SNuh09U","Bogor, Indonesia"
261,rmp_officials,"Bismillah Allahumma bibarkati poro ulama NU 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/Jqf5HehJdV",
262,SitaWarohma,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
263,AnastiDina,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
264,YunitaSyafa2,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
265,apip_mustari,"#CakImin
#SaifulHoda
#Z_OlehSoleh https://t.co/jIwGvXHkFd",Tanjungjaya Tasikmalaya
266,fathw25,Cak Imin Diminta Segera Bicarakan Hasil Ijtima Ulama dengan ... - https://t.co/Q2HdyNczgV https://t.co/4pNQcOAX6u #IndonesiaKuat #BangkitBersama,
267,fathw25,"Disinggung Duet Bareng Puan, Cak Imin: Tanya Pak Prabowo Dulu - SINDOnews Nasional https://t.co/bHM6JCVgwd #IndonesiaKuat #BangkitBersama",
268,usmanulim,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC
Alhamdulillah...
#GusMuhaiminBerangkat 
@cakimiNOW
@Jazilul_Fawaid
@EmHasanuddin
@IrmawanPKB
@DPP_PKB
@zainul_munas
@SukoyoKasekpro
@zainul_munas
@Yusrikasem1
@Mursyidan10

 https://t.co/opLvJahmW0",
269,utadmuhtadi1982,"#cakimin 
#olehsoleh 
#huda https://t.co/7oIwgcB3IX",
270,InfoJktCom,"Di Hadapan Cak Imin, Ketua IMM Jakarta: Calon Pemimpin Jangan Bermodal Survei Saja https://t.co/OjjELiSVed",Jakarta
271,PoppyYanti1,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Lembang
272,SeputarPemilu,Dampak Pertemuan Airlangga dan Cak Imin Bisa Mengubah Peta Koalisi di Pemilu 2024 - https://t.co/pZeYVnlPjG https://t.co/pdPiICnlyu,Indonesia
273,lpppkbpas,"Cak Imin tidak bisa diragukan lagi soal ke-NU-an, beliau lahir, besar dan dididik oleh keluarga NU!

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU #LPPPKBKabPasuruan https://t.co/pgqEUTsVqW",
